# Per-axis decomposition of Congressional Record identity-band word frequencies
# Method: historical-event mixture model (see eq_fourier_per_axis.py)
# Source aggregate: congressional_record_word_freq.csv
year,class_word_freq,race_word_freq,gender_word_freq,sexuality_word_freq,identity_word_freq
1965,2541,132,44,0,178
1966,2613,92,25,0,119
1967,2539,63,11,0,75
1968,2190,292,42,0,335
1969,2158,67,15,0,83
1970,2266,203,97,0,301
1971,2483,135,98,0,234
1972,2338,85,69,0,155
1973,2077,168,120,0,290
1974,2071,134,73,0,209
1975,2219,270,119,18,409
1976,2337,223,91,41,357
1977,2142,108,44,30,184
1978,1935,278,115,52,446
1979,1849,113,48,9,172
1980,2200,300,130,21,453
1981,2207,254,112,23,390
1982,2055,278,126,35,440
1983,1805,382,177,71,631
1984,1780,265,125,71,462
1985,1962,331,160,119,611
1986,2115,222,109,96,429
1987,1958,288,144,134,568
1988,1602,389,198,173,761
1989,1729,261,139,97,498
1990,1743,391,240,107,739
1991,1983,465,301,93,860
1992,1907,587,311,98,997
1993,1538,626,297,109,1033
1994,1436,423,232,88,745
1995,1583,513,338,128,981
1996,1833,433,318,121,873
1997,1684,384,302,115,802
1998,1528,523,433,165,1122
1999,1363,417,363,141,923
2000,1569,518,472,204,1196
2001,1696,453,432,235,1121
2002,1669,401,400,277,1079
2003,1402,431,450,340,1223
2004,1335,379,413,274,1068
2005,1473,480,545,274,1301
2006,1610,504,596,234,1336
2007,1564,510,628,218,1357
2008,1251,567,727,242,1537
2009,1111,495,659,214,1370
2010,1378,548,758,243,1551
2011,1530,564,803,282,1651
2012,1274,659,885,371,1917
2013,1145,955,995,553,2504
2014,1153,951,885,622,2459
2015,1257,767,1014,715,2497
2016,1522,493,1062,599,2155
2017,1198,410,1063,483,1958
2018,1021,586,1292,620,2499
2019,911,919,1227,784,2931
2020,1064,1314,1339,1056,3710
2021,1262,862,1345,963,3172
2022,1124,448,1219,726,2394
2023,913,421,1170,705,2297
2024,878,460,1091,687,2240
