Date,year,assets_per_household,liabilities_per_household,net_worth_per_household,Household count
2000:Q1,2000.0,66746.3,40813.38,25932.92,52180901
2000:Q2,2000.25,67337.61,41388.65,25948.96,52342607
2000:Q3,2000.5,68572.27,42189.35,26382.91,52509976
2000:Q4,2000.75,68110.94,42762.74,25348.2,52683971
2001:Q1,2001.0,68190.72,42851.1,25339.62,52865551
2001:Q2,2001.25,69269.61,44054.78,25214.83,53055677
2001:Q3,2001.5,69795.99,45018.44,24777.55,53255310
2001:Q4,2001.75,70227.1,45955.25,24271.85,53465016
2002:Q1,2002.0,70317.51,45890.9,24426.61,53683780
2002:Q2,2002.25,70068.23,46350.6,23717.61,53910194
2002:Q3,2002.5,70715.01,47299.32,23415.71,54142848
2002:Q4,2002.75,71782.59,48330.86,23451.75,54380333
2003:Q1,2003.0,71485.74,48967.69,22518.05,54621241
2003:Q2,2003.25,72593.04,50816.11,21776.93,54864161
2003:Q3,2003.5,73865.36,51590.9,22274.46,55107685
2003:Q4,2003.75,75089.75,52582.02,22507.73,55350404
2004:Q1,2004.0,75905.54,53046.14,22859.4,55590908
2004:Q2,2004.25,77790.47,54236.0,23554.47,55827789
2004:Q3,2004.5,78645.41,55445.01,23200.42,56059638
2004:Q4,2004.75,81734.27,57950.29,23783.98,56285119
2005:Q1,2005.0,84309.12,60224.03,24085.1,56503197
2005:Q2,2005.25,86879.51,62616.15,24263.36,56712912
2005:Q3,2005.5,90616.97,65168.79,25448.18,56913302
2005:Q4,2005.75,93839.72,67352.65,26487.05,57103407
2006:Q1,2006.0,95664.51,69762.83,25901.68,57282265
2006:Q2,2006.25,98284.83,72391.65,25893.18,57448916
2006:Q3,2006.5,100821.65,75088.11,25733.56,57602398
2006:Q4,2006.75,102386.85,77088.03,25298.82,57741750
2007:Q1,2007.0,102943.02,78554.49,24388.53,57866012
2007:Q2,2007.25,104363.4,80770.19,23593.21,57974223
2007:Q3,2007.5,105854.0,83053.13,22800.89,58065421
2007:Q4,2007.75,103712.28,84674.3,19037.98,58139414
2008:Q1,2008.0,101913.38,85947.49,15965.89,58199080
2008:Q2,2008.25,101139.93,85241.85,15898.09,58248065
2008:Q3,2008.5,99130.55,87094.59,12035.96,58290015
2008:Q4,2008.75,95967.42,86252.64,9714.79,58328577
2009:Q1,2009.0,93628.47,86713.6,6914.87,58367397
2009:Q2,2009.25,93755.17,86616.13,7139.04,58410122
2009:Q3,2009.5,93951.84,87376.98,6574.86,58460396
2009:Q4,2009.75,93240.55,87563.15,5677.4,58521868
2010:Q1,2010.0,92467.75,86976.78,5490.97,58598182
2010:Q2,2010.25,91587.5,86511.65,5075.85,58692986
2010:Q3,2010.5,92141.71,86550.85,5590.86,58809926
2010:Q4,2010.75,89870.15,85701.21,4168.94,58951489
2011:Q1,2011.0,88741.33,84471.47,4269.86,59115531
2011:Q2,2011.25,87864.45,83237.96,4626.49,59298752
2011:Q3,2011.5,86959.11,82324.57,4634.54,59497848
2011:Q4,2011.75,85888.43,81490.61,4397.82,59709518
2012:Q1,2012.0,84743.74,79966.52,4777.2,59930459
2012:Q2,2012.25,84907.32,78918.39,5988.93,60157369
2012:Q3,2012.5,85025.1,78493.32,6531.78,60386947
2012:Q4,2012.75,84754.18,76900.5,7853.68,60615890
2013:Q1,2013.0,84747.93,77171.27,7576.68,60840897
2013:Q2,2013.25,85560.67,76442.89,9117.77,61058664
2013:Q3,2013.5,86946.57,76112.68,10833.89,61265891
2013:Q4,2013.75,86986.79,76228.48,10758.31,61460009
2014:Q1,2014.0,86630.24,75219.38,11410.86,61641386
2014:Q2,2014.25,87456.91,74498.76,12958.15,61811125
2014:Q3,2014.5,87087.21,73686.39,13400.82,61970329
2014:Q4,2014.75,86438.9,73089.85,13349.06,62120099
2015:Q1,2015.0,86306.28,72229.62,14076.67,62261539
2015:Q2,2015.25,86641.73,72128.6,14513.12,62395751
2015:Q3,2015.5,86644.25,72141.49,14502.76,62523836
2015:Q4,2015.75,87026.67,71131.66,15895.01,62646899
2016:Q1,2016.0,86879.08,70566.49,16312.6,62766040
2016:Q2,2016.25,86856.12,70508.58,16347.54,62882363
2016:Q3,2016.5,89013.28,70732.64,18280.64,62996970
2016:Q4,2016.75,89307.01,71175.49,18131.51,63110782
2017:Q1,2017.0,90597.05,71400.45,19196.6,63223998
2017:Q2,2017.25,92369.86,71988.72,20381.14,63336633
2017:Q3,2017.5,93931.6,72821.72,21109.87,63448704
2017:Q4,2017.75,95640.99,73728.01,21912.98,63560228
2018:Q1,2018.0,97064.53,73869.32,23195.2,63671221
2018:Q2,2018.25,98681.41,74318.65,24362.76,63781700
2018:Q3,2018.5,100003.61,75218.85,24784.76,63891681
2018:Q4,2018.75,99672.32,75768.93,23903.39,64001182
2019:Q1,2019.0,100855.42,75675.1,25180.32,64110218
2019:Q2,2019.25,102635.7,76509.91,26125.79,64218807
2019:Q3,2019.5,105368.41,77439.61,27928.8,64326964
2019:Q4,2019.75,106671.18,77713.43,28957.75,64434742
2020:Q1,2020.0,106585.15,77232.08,29353.07,64542340
2020:Q2,2020.25,110677.34,76540.24,34137.1,64649990
2020:Q3,2020.5,114446.47,77306.23,37140.24,64757927
2020:Q4,2020.75,119344.16,77713.92,41630.25,64866385
2021:Q1,2021.0,123382.65,77796.76,45585.88,64975596
2021:Q2,2021.25,129583.53,80806.93,48776.6,65085795
2021:Q3,2021.5,133323.58,82243.93,51079.65,65197216
2021:Q4,2021.75,137141.9,83630.64,53511.26,65310092
2022:Q1,2022.0,140852.74,85021.1,55831.64,65424657
2022:Q2,2022.25,142966.51,86300.17,56666.34,65541145
2022:Q3,2022.5,141853.48,87130.74,54722.73,65659790
2022:Q4,2022.75,140556.62,87682.86,52873.77,65813070
2023:Q1,2023.0,141556.57,86972.99,54583.58,66030134
2023:Q2,2023.25,143355.72,87340.77,56014.96,66094413
2023:Q3,2023.5,143177.02,87850.64,55326.36,66063263
2023:Q4,2023.75,144224.31,88364.68,55859.62,66096886
2024:Q1,2024.0,145944.42,88156.56,57787.87,66314939
2024:Q2,2024.25,146531.11,88424.21,58106.89,66453880
2024:Q3,2024.5,147676.12,89208.58,58467.54,66551287
2024:Q4,2024.75,148465.88,88570.4,59895.48,66645233
2025:Q1,2025.0,147235.55,87868.22,59367.33,67115951
2025:Q2,2025.25,149049.43,87749.69,61299.74,67545136
2025:Q3,2025.5,151244.31,88553.84,62690.47,67751323
2025:Q4,2025.75,153354.32,89631.03,63723.29,67688033
