Date,year,Bottom50,Next40,Top1,Top10
2000:Q1,2000.0,3.2,33.0,27.9,63.8
2000:Q2,2000.25,3.2,33.4,27.5,63.4
2000:Q3,2000.5,3.3,33.6,27.3,63.099999999999994
2000:Q4,2000.75,3.2,34.2,26.799999999999997,62.599999999999994
2001:Q1,2001.0,3.2,35.0,26.1,61.800000000000004
2001:Q2,2001.25,3.1,34.9,26.200000000000003,62.0
2001:Q3,2001.5,3.1,35.6,25.6,61.4
2001:Q4,2001.75,3.0,35.3,25.9,61.8
2002:Q1,2002.0,3.0,35.3,25.799999999999997,61.8
2002:Q2,2002.25,2.9,35.5,25.6,61.6
2002:Q3,2002.5,3.0,36.0,25.0,61.0
2002:Q4,2002.75,2.9,36.0,25.1,61.1
2003:Q1,2003.0,2.8,36.1,24.8,61.0
2003:Q2,2003.25,2.6,35.5,25.4,61.9
2003:Q3,2003.5,2.6,35.3,25.5,62.0
2003:Q4,2003.75,2.6,34.8,26.0,62.6
2004:Q1,2004.0,2.5,34.4,26.6,63.1
2004:Q2,2004.25,2.6,34.3,26.6,63.1
2004:Q3,2004.5,2.5,34.2,26.8,63.3
2004:Q4,2004.75,2.5,33.9,27.0,63.6
2005:Q1,2005.0,2.5,33.9,26.9,63.6
2005:Q2,2005.25,2.4,33.6,27.200000000000003,64.1
2005:Q3,2005.5,2.5,33.3,27.3,64.2
2005:Q4,2005.75,2.5,33.3,27.2,64.1
2006:Q1,2006.0,2.4,32.6,27.9,65.0
2006:Q2,2006.25,2.4,32.6,27.8,65.0
2006:Q3,2006.5,2.4,32.4,28.0,65.3
2006:Q4,2006.75,2.3,32.0,28.2,65.6
2007:Q1,2007.0,2.2,31.6,28.6,66.2
2007:Q2,2007.25,2.1,31.3,28.7,66.5
2007:Q3,2007.5,2.0,31.0,29.0,67.0
2007:Q4,2007.75,1.7,31.2,28.8,67.1
2008:Q1,2008.0,1.5,31.5,28.5,67.0
2008:Q2,2008.25,1.5,31.5,28.4,67.0
2008:Q3,2008.5,1.2,31.9,28.2,67.1
2008:Q4,2008.75,1.0,32.5,27.700000000000003,66.5
2009:Q1,2009.0,0.7,32.9,27.400000000000002,66.4
2009:Q2,2009.25,0.7,32.5,27.6,66.80000000000001
2009:Q3,2009.5,0.7,31.9,28.1,67.5
2009:Q4,2009.75,0.6,31.8,28.1,67.7
2010:Q1,2010.0,0.5,31.6,28.200000000000003,67.9
2010:Q2,2010.25,0.5,31.5,28.1,68.0
2010:Q3,2010.5,0.5,31.0,28.5,68.5
2010:Q4,2010.75,0.4,30.7,28.8,68.9
2011:Q1,2011.0,0.4,30.5,29.2,69.2
2011:Q2,2011.25,0.4,30.5,29.1,69.0
2011:Q3,2011.5,0.4,31.0,28.799999999999997,68.6
2011:Q4,2011.75,0.4,30.8,29.0,68.8
2012:Q1,2012.0,0.4,30.4,29.4,69.1
2012:Q2,2012.25,0.6,30.5,29.4,69.0
2012:Q3,2012.5,0.6,30.3,29.6,69.1
2012:Q4,2012.75,0.7,30.3,29.6,69.0
2013:Q1,2013.0,0.7,30.2,29.8,69.2
2013:Q2,2013.25,0.8,30.2,29.6,69.0
2013:Q3,2013.5,0.9,30.1,29.700000000000003,69.0
2013:Q4,2013.75,0.9,30.0,29.8,69.2
2014:Q1,2014.0,0.9,29.7,30.0,69.4
2014:Q2,2014.25,1.0,29.3,30.4,69.69999999999999
2014:Q3,2014.5,1.0,29.3,30.4,69.69999999999999
2014:Q4,2014.75,1.0,29.1,30.6,70.0
2015:Q1,2015.0,1.0,28.9,30.6,69.9
2015:Q2,2015.25,1.1,28.8,30.8,70.2
2015:Q3,2015.5,1.1,29.0,30.5,69.9
2015:Q4,2015.75,1.2,28.9,30.6,69.9
2016:Q1,2016.0,1.2,28.9,30.6,69.9
2016:Q2,2016.25,1.2,28.7,30.799999999999997,70.19999999999999
2016:Q3,2016.5,1.3,28.7,30.799999999999997,70.0
2016:Q4,2016.75,1.3,28.8,30.7,69.9
2017:Q1,2017.0,1.3,28.7,30.7,70.0
2017:Q2,2017.25,1.4,28.6,30.7,70.0
2017:Q3,2017.5,1.4,28.6,30.7,70.0
2017:Q4,2017.75,1.4,28.4,30.8,70.1
2018:Q1,2018.0,1.5,28.6,30.6,69.9
2018:Q2,2018.25,1.6,28.5,30.5,69.9
2018:Q3,2018.5,1.5,28.4,30.700000000000003,70.2
2018:Q4,2018.75,1.6,28.8,30.0,69.6
2019:Q1,2019.0,1.6,28.1,30.6,70.30000000000001
2019:Q2,2019.25,1.6,28.2,30.6,70.30000000000001
2019:Q3,2019.5,1.7,28.2,30.4,70.1
2019:Q4,2019.75,1.7,28.2,30.6,70.1
2020:Q1,2020.0,1.8,29.6,29.2,68.5
2020:Q2,2020.25,2.0,29.3,29.900000000000002,68.8
2020:Q3,2020.5,2.1,29.3,30.0,68.6
2020:Q4,2020.75,2.2,29.0,30.6,68.9
2021:Q1,2021.0,2.3,29.1,30.7,68.6
2021:Q2,2021.25,2.3,29.2,30.799999999999997,68.4
2021:Q3,2021.5,2.4,29.4,30.8,68.2
2021:Q4,2021.75,2.4,29.4,30.9,68.1
2022:Q1,2022.0,2.5,30.1,30.5,67.4
2022:Q2,2022.25,2.7,31.3,29.4,65.9
2022:Q3,2022.5,2.7,31.4,29.5,65.9
2022:Q4,2022.75,2.6,31.0,29.9,66.4
2023:Q1,2023.0,2.6,30.8,30.1,66.6
2023:Q2,2023.25,2.6,30.9,30.1,66.5
2023:Q3,2023.5,2.5,31.1,29.9,66.3
2023:Q4,2023.75,2.5,30.7,30.299999999999997,66.8
2024:Q1,2024.0,2.5,30.5,30.5,67.0
2024:Q2,2024.25,2.5,30.6,30.5,66.9
2024:Q3,2024.5,2.4,30.2,30.9,67.4
2024:Q4,2024.75,2.5,30.1,31.0,67.4
2025:Q1,2025.0,2.5,30.3,30.799999999999997,67.19999999999999
2025:Q2,2025.25,2.5,30.1,31.200000000000003,67.6
2025:Q3,2025.5,2.5,29.4,31.700000000000003,68.1
2025:Q4,2025.75,2.5,29.2,31.9,68.3
