Date,year,hierarchy_bracket,percentile_proxy,average_net_worth,aggregate_share_pct,Household count,mapping_note
1989:Q3,1989.5,Out-group extraction floor,Bottom 50%,15433.2,3.51,46513751,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1989:Q4,1989.75,Out-group extraction floor,Bottom 50%,15235.64,3.41,46639187,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1990:Q1,1990.0,Out-group extraction floor,Bottom 50%,15690.37,3.52,46763715,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1990:Q2,1990.25,Out-group extraction floor,Bottom 50%,15194.69,3.37,46887437,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1990:Q3,1990.5,Out-group extraction floor,Bottom 50%,15821.86,3.54,47010455,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1990:Q4,1990.75,Out-group extraction floor,Bottom 50%,16305.8,3.58,47132871,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1991:Q1,1991.0,Out-group extraction floor,Bottom 50%,16467.31,3.55,47254787,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1991:Q2,1991.25,Out-group extraction floor,Bottom 50%,16497.3,3.55,47376305,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1991:Q3,1991.5,Out-group extraction floor,Bottom 50%,17577.53,3.73,47497528,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1991:Q4,1991.75,Out-group extraction floor,Bottom 50%,17967.34,3.73,47618557,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1992:Q1,1992.0,Out-group extraction floor,Bottom 50%,18299.19,3.8,47739495,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
1992:Q2,1992.25,Out-group extraction floor,Bottom 50%,18574.32,3.85,47860443,Percentile groups are wealth-distribution proxies for structural roles; they are not identity-equivalent categories.
