year,class_count,identity_count,class_dt,identity_dt,election_year
1998,6018.0,6562.0,-1533.6984126984107,-1607.457671957669,True
1999,10481.0,9662.0,2839.6202686202705,1468.0191290191324,False
2000,7757.0,7828.0,25.938949938951737,-390.5040700040681,False
2001,6884.0,6298.0,-936.742368742367,-1945.0272690272668,True
2002,8945.0,9215.0,1034.5763125763142,947.4495319495345,False
2003,9740.0,8761.0,1739.8949938949954,468.9263329263358,False
2004,6436.0,8046.0,-1653.7863247863233,-270.5968660968647,True
2005,14269.0,10032.0,6089.532356532358,1690.8799348799366,False
2006,8169.0,11431.0,-100.14896214895998,3065.356735856738,False
2007,6607.0,6142.0,-1751.8302808302797,-2248.1664631664607,True
2008,8056.0,8488.0,-392.51159951159934,73.31033781033875,False
2009,6315.0,7007.0,-2223.192918192917,-1432.21286121286,False
2010,3874.0,7308.0,-4753.874236874235,-1155.7360602360586,True
2011,5853.0,9955.0,-2864.5555555555547,1466.7407407407427,False
2012,9851.0,8929.0,1043.7631257631256,416.2175417175422,False
2013,8020.0,7305.0,-876.9181929181923,-1232.3056573056565,True
2014,10564.0,9061.0,1577.4004884004898,499.1711436711448,False
2015,8530.0,10592.0,-546.2808302808298,2005.6479446479461,False
2016,7447.0,7866.0,-1718.9621489621495,-744.8752543752544,True
2017,14789.0,11177.0,5533.356532356533,2541.601546601547,False
2018,9579.0,8313.0,233.67521367521476,-346.92165242165174,False
2019,6514.0,6124.0,-2921.006105006105,-2560.4448514448504,True
2020,7744.0,6354.0,-1780.6874236874246,-2354.968050468051,False
2021,10163.0,7577.0,548.6312576312575,-1156.4912494912496,False
2022,9354.0,8303.0,-350.0500610500603,-455.0144485144483,True
2023,13345.0,13412.0,3551.26862026862,4629.462352462353,False
2024,10070.0,7435.0,186.58730158730032,-1372.0608465608475,False
