# processed: monthly GDELT GKG per-axis theme shares (fraction of total coverage)
# source_raw: Paper/data/raw/gdelt_per_axis_raw.csv
# source_upstream: GDELT 1.0 daily GKG, public file server
# sampling: single day per month (15th)
# coverage: 2013-04 through 2024-12
# transformations:
#   1. sort ascending by year_month
#   2. compute race_share = race_count / total_count (and analogues for each axis)
#   3. round to 6 decimal places
#   4. replace zero total_count with NaN to avoid division artifacts
# preprocessed_by: Paper/scripts/preprocess_spectral_data.py
year_month,race_share,gender_share,religion_share,sexuality_share,total_count
2013-04,0.490847,0.04855,0.112112,0.010984,13656
2013-05,0.461119,0.08268,0.104081,0.008574,15046
2013-06,0.463996,0.068857,0.124559,0.016721,28886
2013-07,0.433042,0.050788,0.100543,0.011339,59089
2013-08,0.426538,0.050044,0.12033,0.013328,63924
2013-09,0.404845,0.050507,0.111004,0.007702,39341
2013-10,0.472578,0.041749,0.087898,0.008579,85679
2013-11,0.459394,0.046716,0.079746,0.013631,72994
2013-12,0.465914,0.054712,0.116304,0.019243,40119
2014-01,0.396647,0.053584,0.089473,0.016531,76403
2014-02,0.416738,0.052297,0.106858,0.026234,34878
2014-03,0.505471,0.062676,0.114887,0.018365,44052
2014-04,0.407876,0.049877,0.095965,0.015304,68869
2014-05,0.443649,0.059517,0.09304,0.022644,67745
2014-06,0.48254,0.056042,0.17063,0.011734,31958
2014-07,0.449914,0.058151,0.097167,0.01156,76559
2014-08,0.449618,0.049586,0.112257,0.011126,67862
2014-09,0.470189,0.050216,0.129162,0.007876,80372
2014-10,0.448645,0.056969,0.128322,0.020956,109708
2014-11,0.437421,0.068089,0.130323,0.010291,49362
2014-12,0.431464,0.063527,0.14194,0.012863,85050
2015-01,0.566204,0.048909,0.163768,0.012301,88613
2015-02,0.608779,0.049404,0.210883,0.016385,48093
2015-03,0.481812,0.064659,0.150355,0.019074,115653
2015-04,0.417933,0.055635,0.100173,0.017882,205734
2015-05,0.433066,0.060931,0.100821,0.015945,214242
2015-06,0.439592,0.054565,0.11427,0.014307,194942
2015-07,0.416315,0.054834,0.097948,0.014457,275923
2015-08,0.436233,0.073902,0.113539,0.013958,135909
2015-09,0.423589,0.065968,0.103809,0.023415,238996
2015-10,0.423248,0.056212,0.103836,0.013019,250019
2015-11,0.477119,0.056283,0.210856,0.009404,125474
2015-12,0.435319,0.050075,0.135989,0.009157,226482
2016-01,0.440773,0.055293,0.120823,0.016191,225057
2016-02,0.45833,0.064183,0.123873,0.01833,191002
2016-03,0.426629,0.055569,0.106713,0.013842,235005
2016-04,0.429799,0.066482,0.106561,0.019184,222211
2016-05,0.426038,0.063081,0.127589,0.025869,152153
2016-06,0.402479,0.054921,0.126963,0.086854,280057
2016-07,0.447802,0.055363,0.135388,0.02759,273976
2016-08,0.393627,0.068758,0.117771,0.018274,236671
