state,state_fips,fa_homicide_rate_2024,fa_homicide_count_2024,fa_homicide_rate_2020_2024_pooled,fa_homicide_count_2020_2024,fa_homicide_suppressed_years,fa_deaths_rate_2024,fa_deaths_count_2024,fa_deaths_rate_2020_2024_pooled,fa_deaths_count_2020_2024,fa_deaths_suppressed_years,giffords_grade,giffords_law_strength_rank,everytown_law_rank,everytown_gun_death_rank,poverty_rate_saipe_2024,poverty_rate_saipe_2020_2024_mean,median_hh_income_saipe_2024,median_hh_income_acs2024_5yr,gini_acs2024_5yr,source_firearm,source_law_rankings,source_poverty_income_gini,access_date
Alabama,01,11.0,562,11.93,3033,,23.7,1212,24.53,6238,,F,36,28,4,15.2,15.66,66704,63999.0,0.4791,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Alaska,02,4.5,33,4.87,179,,24.8,182,23.9,879,,F,39,39,3,10.3,10.4,96336,92788.0,0.4326,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Arizona,04,4.4,329,5.53,2041,,17.9,1331,18.74,6915,,F,41,41,18,11.9,12.54,81404,79964.0,0.4637,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Arkansas,05,6.9,211,8.72,1329,,20.8,638,21.95,3346,,F,49,47,7,15.3,15.64,62146,60773.0,0.4794,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
California,06,3.1,1204,4.02,7900,,7.3,2853,8.44,16571,,A,1,1,44,11.8,11.96,100130,99122.0,0.4889,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Colorado,08,3.6,209,4.38,1285,,16.4,961,17.07,5002,,A-,10,11,21,9.6,9.44,96871,95470.0,0.4585,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Connecticut,09,1.9,69,2.78,504,,6.2,224,6.45,1168,,A,3,5,45,10.1,9.98,95670,95781.0,0.499,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Delaware,10,4.8,50,5.82,297,,11.9,123,13.0,664,,A-,13,10,36,10.1,10.66,87510,84954.0,0.4494,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
District of Columbia,11,19.7,134,23.84,812,,21.8,148,25.8,879,,,,,,16.4,15.52,109289,109870.0,0.5169,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Florida,12,3.9,889,4.91,5500,,14.1,3191,14.15,15859,,C-,24,23,29,12.1,12.56,77687,74568.0,0.4851,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
