# source: GDELT 1.0 daily GKG public file server
# sampling: day 15 of each month; counts weighted by NUMARTS
# generated_by: Paper/scripts/gdelt_fetch_fileserver.py
year_month,race_count,gender_count,religion_count,sexuality_count,total_count
2013-04,6703,663,1531,150,13656
2013-05,6938,1244,1566,129,15046
2013-06,13403,1989,3598,483,28886
2013-07,25588,3001,5941,670,59089
2013-08,27266,3199,7692,852,63924
2013-09,15927,1987,4367,303,39341
2013-10,40490,3577,7531,735,85679
2013-11,33533,3410,5821,995,72994
2013-12,18692,2195,4666,772,40119
2014-01,30305,4094,6836,1263,76403
2014-02,14535,1824,3727,915,34878
2014-03,22267,2761,5061,809,44052
2014-04,28090,3435,6609,1054,68869
2014-05,30055,4032,6303,1534,67745
2014-06,15421,1791,5453,375,31958
2014-07,34445,4452,7439,885,76559
2014-08,30512,3365,7618,755,67862
2014-09,37790,4036,10381,633,80372
2014-10,49220,6250,14078,2299,109708
2014-11,21592,3361,6433,508,49362
2014-12,36696,5403,12072,1094,85050
2015-01,50173,4334,14512,1090,88613
2015-02,29278,2376,10142,788,48093
2015-03,55723,7478,17389,2206,115653
2015-04,85983,11446,20609,3679,205734
2015-05,92781,13054,21600,3416,214242
2015-06,85695,10637,22276,2789,194942
2015-07,114871,15130,27026,3989,275923
2015-08,59288,10044,15431,1897,135909
2015-09,101236,15766,24810,5596,238996
2015-10,105820,14054,25961,3255,250019
2015-11,59866,7062,26457,1180,125474
2015-12,98592,11341,30799,2074,226482
2016-01,99199,12444,27192,3644,225057
2016-02,87542,12259,23660,3501,191002
2016-03,100260,13059,25078,3253,235005
2016-04,95506,14773,23679,4263,222211
2016-05,64823,9598,19413,3936,152153
2016-06,112717,15381,35557,24324,280057
2016-07,122687,15168,37093,7559,273976
2016-08,93160,16273,27873,4325,236671
2016-09,109469,15489,26355,3970,268285
2016-10,70349,18016,19381,2137,156744
2016-11,121042,20030,28500,6973,275099
2016-12,107906,15228,26236,2924,259096
2017-01,60107,7871,15689,2516,134383
2017-02,127285,18727,27623,4049,284332
2017-03,116096,15255,23651,3390,263614
2017-04,53087,8812,18100,1355,134051
2017-05,91304,13649,19406,2702,206281
2017-06,94539,12036,21273,2785,240852
2017-07,44157,6796,11235,925,107642
2017-08,93216,11036,19124,3062,209412
2017-09,71485,10873,17731,2508,173483
2017-10,46048,8893,11806,1527,111140
2017-11,95035,17969,20514,7693,229369
2017-12,78817,15364,18183,2070,194157
2018-01,75709,9044,16521,1925,167752
2018-02,78270,13339,17268,2743,213812
2018-03,91181,12599,16352,2737,216817
2018-04,47438,5642,10901,1717,105565
2018-05,91474,13130,21320,2695,209021
2018-06,79894,11401,17904,2669,197028
2018-07,32942,3826,7416,925,74026
2018-08,81914,12344,20551,4440,192305
2018-09,47056,7137,9494,974,118391
2018-10,74541,12854,13690,2213,178305
2018-11,87148,12098,17297,2487,208338
2018-12,42639,5487,9452,1085,99154
2019-01,71702,12405,12231,1779,167022
2019-02,73041,10858,14903,4167,175058
2019-03,79973,9865,28183,2964,182280
2019-04,68407,9550,18878,3184,161550
