# SCOTUS annual keyword counts (aggregated by decision year)
# source: Internet Archive us-supreme-court collection + curated pull list
# extraction: pdfplumber + case-insensitive regex baskets
# n_cases: number of opinions aggregated into the year
year,n_cases,total_words,class_count,race_count,gender_count,religion_count,sexuality_count,class_per_1k,race_per_1k,gender_per_1k,religion_per_1k,sexuality_per_1k,class_share,identity_share
1832,1,93342,39,48,6,13,2,0.41781834543935203,0.514237963617664,0.064279745452208,0.13927278181311736,0.02142658181740267,0.3611111111111111,0.6388888888888888
1854,1,95524,2,49,3,10,0,0.02093714668564968,0.5129600937984171,0.03140572002847452,0.1046857334282484,0.0,0.03125,0.96875
1861,1,24073,2,22,1,14,0,0.08308062975117352,0.9138869272629087,0.04154031487558676,0.5815644082582146,0.0,0.05128205128205128,0.9487179487179487
1875,1,149715,187,5,224,1,0,1.2490398423671643,0.03339678722906857,1.4961760678622718,0.006679357445813713,0.0,0.44844124700239807,0.5515587529976019
1878,3,261213,71,134,19,38,3,0.27180883034152203,0.5129913136023092,0.07273757431674534,0.14547514863349068,0.01148488015527558,0.2679245283018868,0.7320754716981132
1882,1,39958,163,0,0,0,0,4.07928324740978,0.0,0.0,0.0,0.0,1.0,0.0
1885,1,2230,0,1,5,1,0,0.0,0.4484304932735426,2.242152466367713,0.4484304932735426,0.0,0.0,1.0
1886,1,862921,246,205,510,120,136,0.28507824007064375,0.2375652000588698,0.5910158635610908,0.13906255613202134,0.15760423028295753,0.20213640098603122,0.7978635990139687
1892,1,71780,7,21,1,4,8,0.09752020061298412,0.2925606018389523,0.013931457230426303,0.05572582892170521,0.11145165784341042,0.17073170731707318,0.8292682926829268
1896,1,47321,53,3,0,8,0,1.120010143488092,0.06339680057479766,0.0,0.16905813486612709,0.0,0.828125,0.171875
1905,1,36901,7,2,350,22,0,0.18969675618546922,0.05419907319584835,9.484837809273461,0.5961898051543318,0.0,0.01837270341207349,0.9816272965879265
1918,1,27710,6,0,0,1,1,0.21652832912306028,0.0,0.0,0.03608805485384338,0.03608805485384338,0.75,0.25
1925,2,244304,32,373,8,90,0,0.13098434737048922,1.5267862990372651,0.032746086842622306,0.3683934769795009,0.0,0.0636182902584493,0.9363817097415507
1937,1,14604,3,2,0,0,0,0.20542317173377156,0.13694878115584772,0.0,0.0,0.0,0.6,0.4
1941,1,103522,13,333,1,8,0,0.1255771720020865,3.2167075597457546,0.009659782461698962,0.0772782596935917,0.0,0.036619718309859155,0.9633802816901409
1943,2,146193,65,327,4,47,3,0.44461773135512644,2.23676920235579,0.027361091160315473,0.3214928211337068,0.020520818370236605,0.14573991031390135,0.8542600896860987
1945,1,452466,88,1331,22,67,2,0.19448975171615104,2.9416574947067846,0.04862243792903776,0.14807742460206955,0.004420221629912523,0.05827814569536424,0.9417218543046357
1949,1,904163,292,3576,37,170,2,0.3229506184172544,3.9550390803428144,0.04092182493643292,0.188019195653881,0.0022119905371044825,0.07162129016433652,0.9283787098356635
1952,1,4702,0,1,0,0,0,0.0,0.21267545725223308,0.0,0.0,0.0,0.0,1.0
1954,2,1072486,91,3104,27,161,1,0.08484959244223235,2.8942102740735076,0.025175153801541464,0.15011850970548798,0.000932413103760795,0.026891252955082743,0.9731087470449172
1958,1,683195,170,4516,382,96,5,0.2488308608815931,6.610118633772203,0.5591375815104034,0.14051625085078198,0.0073185547318115616,0.03288837299284194,0.967111627007158
1960,2,300550,114,506,9,37,0,0.3793046082182665,1.6835801031442357,0.029945100648810515,0.12310763600066545,0.0,0.17117117117117117,0.8288288288288288
1963,1,8605,2,0,0,0,0,0.23242300987797793,0.0,0.0,0.0,0.0,1.0,0.0
1965,1,770846,222,3758,103,71,6,0.2879952675372253,4.875163132454472,0.13361942592943338,0.09210659457271621,0.0077836558793844685,0.05336538461538461,0.9466346153846154
1969,1,975350,149,3195,4,105,0,0.1527656738606654,3.2757471676833956,0.004101091915722561,0.10765366278771724,0.0,0.04315088328989285,0.9568491167101072
1971,3,424633,81,868,266,46,1,0.19075295608207557,2.0441180972745876,0.6264232878744704,0.10832883925648737,0.0023549747664453773,0.06418383518225039,0.9358161648177497
1973,2,440071,123,72,12,58,0,0.27950035335207274,0.16360996293779867,0.02726832715629978,0.13179691458878226,0.0,0.4641509433962264,0.5358490566037736
1974,2,1766756,710,6746,254,280,3,0.4018664716576596,3.818297489862777,0.1437663152127402,0.15848255220302068,0.0016980273450323644,0.08882772425872638,0.9111722757412736
1977,2,663588,43,1873,28,19,1,0.06479924290372942,2.82253446415547,0.04219485584428893,0.028632223608624628,0.001506959137296033,0.02189409368635438,0.9781059063136456
1979,1,85588,43,288,15,25,0,0.5024068794690845,3.3649577043510774,0.17525821376828526,0.2920970229471421,0.0,0.11590296495956873,0.8840970350404312
1982,2,45095,5,162,2,7,3,0.11087703736556159,3.592416010644196,0.044350814946224636,0.15522785231178624,0.06652622241933695,0.027932960893854747,0.9720670391061452
1983,1,487857,122,340,114,105,1,0.25007327967006726,0.6969255335067448,0.23367503182284974,0.21522700299473002,0.002049780980902191,0.17888563049853373,0.8211143695014663
1984,1,86631,14,2,1,15,0,0.1616049681984509,0.02308642402835013,0.011543212014175065,0.17314818021262596,0.0,0.4375,0.5625
1985,1,133404,23,3,3,2,1,0.17240862342958233,0.022488081316902043,0.022488081316902043,0.014992054211268029,0.007496027105634014,0.71875,0.28125
1986,1,154359,25,38,3,23,0,0.16196010598669336,0.2461793610997739,0.019435212718403202,0.1490032975077579,0.0,0.2808988764044944,0.7191011235955056
1988,2,418583,94,648,47,25,0,0.2245671706686607,1.5480800701414057,0.11228358533433035,0.05972531134804806,0.0,0.11547911547911548,0.8845208845208845
1989,1,262565,35,1644,368,10,2,0.13330032563365263,6.261306724049283,1.4015577095195475,0.038085807323900746,0.00761716146478015,0.016998542982030112,0.9830014570179699
1990,1,134147,14,6,5,101,0,0.10436312403557292,0.04472705315810268,0.0372725442984189,0.7529053948280617,0.0,0.1111111111111111,0.8888888888888888
1991,1,29684,50,76,8,3,0,1.684409109284463,2.5603018461123837,0.2695054574855141,0.10106454655706779,0.0,0.36496350364963503,0.635036496350365
1999,1,622692,166,332,241,94,3,0.2665844430312257,0.5331688860624514,0.3870292215091891,0.15095745569238084,0.004817791139118537,0.19856459330143542,0.8014354066985646
2001,1,1089752,238,7577,630,144,13,0.2183983144788906,6.952958104229219,0.5781131853852987,0.13214015665949683,0.011929319698426798,0.02766798418972332,0.9723320158102767
2003,4,2749369,973,15291,1235,776,118,0.35389938564085066,5.561639779891313,0.44919397869111055,0.2822465809427545,0.042918938854697206,0.05290055999565052,0.9470994400043495
2005,1,16653,1,2,1,1,0,0.06004924037710923,0.12009848075421846,0.06004924037710923,0.06004924037710923,0.0,0.2,0.8
2007,2,530536,116,4340,395,105,36,0.21864680247900237,8.180406230679916,0.7445300601655684,0.1979130539680625,0.06785590421762143,0.023237179487179488,0.9767628205128205
2008,1,29209,7,0,9,6,0,0.2396521620048615,0.0,0.3081242082919648,0.20541613886130988,0.0,0.3181818181818182,0.6818181818181818
2010,1,26426,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2012,1,20256,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2015,2,41273,33,8,18,62,244,0.7995541879679209,0.19383131829525355,0.4361204661643205,1.502192716788215,5.911855208005234,0.09041095890410959,0.9095890410958904
2016,1,17947,37,8,0,6,0,2.0616258984788542,0.445756951022455,0.0,0.33431771326684123,0.0,0.7254901960784313,0.27450980392156865
2018,1,28738,6,13,2,91,0,0.2087827962975851,0.45236272531143434,0.06959426543252836,3.1665390771800404,0.0,0.05357142857142857,0.9464285714285714
2019,3,56261,100,146,13,3,1,1.7774301914292316,2.5950480794866784,0.2310659248858001,0.05332290574287695,0.017774301914292315,0.38022813688212925,0.6197718631178707
2020,1,29329,11,16,10,2,3,0.375055405912237,0.5455351358723448,0.3409594599202155,0.0681918919840431,0.10228783797606465,0.2619047619047619,0.7380952380952381
2021,1,30010,4,70,1,2,0,0.13328890369876709,2.332555814728424,0.03332222592469177,0.06664445184938354,0.0,0.05194805194805195,0.948051948051948
