# processed: SCOTUS case-level judicial semantic scores
# source_upstream: Paper/data/scotus_judicial_semantics.csv
# orientation: higher latent_semantic_axis_z = historical/kinetic language pole
# generated_by: Paper/scripts/scotus_judicial_semantics.py
case_name,year,slug,cluster,tier,opinion_unit,word_count,structural_context_count,structural_context_per_1k,structural_context_score,formalist_procedure_count,formalist_procedure_per_1k,formalist_procedure_score,intent_doctrine_count,intent_doctrine_per_1k,intent_doctrine_score,historical_tradition_count,historical_tradition_per_1k,historical_tradition_score,kinetic_rights_count,kinetic_rights_per_1k,kinetic_rights_score,remedy_narrowing_count,remedy_narrowing_per_1k,remedy_narrowing_score,semantic_formalism_index,hardware_due_diligence_index,double_agent_basket_delta,latent_semantic_axis_z,basket_anchor_delta_z
Marbury v. Madison,1803,marbury_v_madison_1803,reconstruction_amendments,1,full_case,11933,0,0.0,0.0,1,0.0838,0.0838,1,0.0838,0.0838,3,0.2514,0.2514,1,0.0838,0.0838,31,2.5978,2.5978,2.7654,0.3352,-2.4302,0.148,0.0419
Dred Scott v. Sandford,1857,dred_scott_v_sandford_1857,racial_classification,1,full_case,83852,11,0.1312,0.1312,274,3.2677,3.2677,50,0.5963,0.5963,85,1.0137,1.0137,31,0.3697,0.3697,45,0.5367,0.5367,4.2695,1.3834,-2.8861,-0.4701,-0.065
Bradwell v. Illinois,1873,bradwell_v_illinois_1873,gendered_kernel,2,full_case,3659,2,0.5466,0.5466,2,0.5466,0.5466,4,1.0932,1.0932,6,1.6398,1.6398,0,0.0,0.0,1,0.2733,0.2733,1.3665,1.6398,0.2733,-0.3622,0.475
Slaughterhouse Cases,1873,slaughterhouse_cases_1873,reconstruction_amendments,baseline,full_case,10599,0,0.0,0.0,13,1.2265,1.2265,11,1.0378,1.0378,0,0.0,0.0,2,0.1887,0.1887,51,4.8118,4.8118,7.0761,0.1887,-6.8874,-0.1547,-0.9554
United States v. Cruikshank,1876,united_states_v_cruikshank_1876,reconstruction_amendments,baseline,full_case,77866,2,0.0257,0.0257,130,1.6695,1.6695,397,5.0985,5.0985,34,0.4366,0.4366,148,1.9007,1.9007,51,0.655,0.655,7.3973,2.3373,-5.06,-0.6511,-0.8987
United States v. Reese,1876,united_states_v_reese_1876,reconstruction_amendments,baseline,full_case,5683,0,0.0,0.0,6,1.0558,1.0558,1,0.176,0.176,0,0.0,0.0,0,0.0,0.0,2,0.3519,0.3519,1.5837,0.0,-1.5837,-0.0392,0.3515
Strauder v. West Virginia,1880,strauder_v_west_virginia_1880,jury_selection,baseline,full_case,110578,4,0.0362,0.0362,382,3.4546,3.4546,72,0.6511,0.6511,43,0.3889,0.3889,43,0.3889,0.3889,79,0.7144,0.7144,4.7839,0.7778,-4.0061,-1.063,-0.2296
Civil Rights Cases,1883,civil_rights_cases_1883,reconstruction_amendments,baseline,full_case,1636,0,0.0,0.0,2,1.2225,1.2225,2,1.2225,1.2225,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.445,0.0,-2.445,-0.411,0.1479
Yick Wo v. Hopkins,1886,yick_wo_v_hopkins_1886,reconstruction_amendments,baseline,full_case,5433,0,0.0,0.0,14,2.5768,2.5768,9,1.6565,1.6565,4,0.7362,0.7362,7,1.2884,1.2884,3,0.5522,0.5522,4.7855,2.0246,-2.7609,-0.2038,-0.1994
Plessy v. Ferguson,1896,plessy_v_ferguson_1896,reconstruction_amendments,baseline,full_case,51398,9,0.1751,0.1751,131,2.5487,2.5487,41,0.7977,0.7977,22,0.428,0.428,58,1.1284,1.1284,89,1.7316,1.7316,4.9029,1.5564,-3.3465,-0.3869,-0.2823
