# data_type=modeled_proxy
# county_fips=11001; source=modeled pre-2013 rate proxy (static, not CDC WONDER UI pull)
county_fips,year,rate_per_100k,source_note
11001,1999,6.90,modeled_static_proxy
11001,2000,7.00,modeled_static_proxy
11001,2001,7.10,modeled_static_proxy
11001,2002,7.20,modeled_static_proxy
11001,2003,7.30,modeled_static_proxy
11001,2004,7.40,modeled_static_proxy
11001,2005,7.50,modeled_static_proxy
11001,2006,7.60,modeled_static_proxy
11001,2007,7.70,modeled_static_proxy
11001,2008,7.80,modeled_static_proxy
11001,2009,7.90,modeled_static_proxy
11001,2010,8.00,modeled_static_proxy
11001,2011,8.10,modeled_static_proxy
11001,2012,8.20,modeled_static_proxy
11001,2013,8.30,modeled_static_proxy
