start	end	text
0	1380	You've probably seen this paper around town,
1380	2900	you're thinking, oh, is that 1910?
2900	4940	No, this is 1978 and Texas Presidents
4940	6020	don't look that different today.
6020	8060	You may know that the 13th Amendment abolished slavery
8060	9520	except as a punishment for a crime,
9520	11620	but did you know that every Texas prison established
11620	14260	before the 1980s is built on a former slave plantation?
14260	17260	The 60s, 70s, this is last week.
17260	18960	If you drive down to Southeast Texas today,
18960	21100	you may see a group of mostly black and brown men
21100	22660	working in a field for no pay.
22660	25660	You are not allowed to go around the uniform forever.
25660	28260	Okay, I'll head back that way or what's the best way out.
28260	30180	All right, we'll wait until you're allowed to either.
30180	31020	I can go out.
31020	32900	You can get shot for driving around the unit.
32900	34900	We've got guns and all these carriages
34900	36260	that just break the town.
36260	38100	So this is where you will remain a girl.
38100	39580	Texas is one of a handful of states,
39580	40580	all of them in the South,
40580	42420	that don't pay any wages to prisoners.
42420	45060	If a Texas prisoner refuses to participate in farm labor,
45060	46460	they can be punished with 30 days
46460	47700	and isolation in the South.
47700	49460	And that is what happened to Robert Hockley.
49460	52340	I'm like, it's a way in hell, I'm being kind.
52340	54060	This is him standing outside Clemens prison,
54060	56140	which is a prison he went to when he was 17 years old.
56140	59140	From 1996 to 2000, he picked cotton by hand.
59140	60380	That was on the same land
60380	62380	that slaves were working in the 1800s.
62380	64020	He says it's not a rhyme to slavery,
64020	65500	it's not something like slavery.
65500	69340	In 1996, I was a slave.
69340	72220	The number one complaint the prisoners have about the condition
72220	73060	is the heat.
73060	75740	Most Texas prisons lack AC and housing areas.
75740	78020	I don't know how to describe except it's miserable.
78020	80660	These are Texas prisons that have some AC and housing areas.
80660	83140	These are Texas prisons that have no AC and housing areas.
83140	84740	Adopt that's orange means a prison
84740	86660	that was built on a former slave plantation.
86660	88780	I was my introduction into burning hell.
