start	end	text
0	7500	It's interesting that young white men are only 10% of the population, but 98% of the military deaths.
7500	9500	You ask for a stat check and you'll get one.
9500	14900	When you break it down by race, black Americans were actually more likely to die in pretty much every recent war.
14900	20300	For instance, in the Vietnam conflict, black men made up 12.4% of all American deaths.
20300	24200	However, black Americans only made up around 10% of the population.
24200	26800	And this is also true for deaths since 1980.
26800	29100	If you want those stats, you can look them up at the DCAS.
29100	33500	So the claim in that video that young white men make up 90% of the military deaths is false.
33500	36300	And since that video was about privilege, I'm going to go ahead and talk about that.
36300	41000	Looking up USA facts, how many people do you think died in the military in 2022?
41000	45500	The answer is 844 deaths out of all of the armed forces in 2022.
45500	49800	In a total of zero of those deaths were from hostile action or terrorist attacks.
49800	54000	The largest numbers were self-inflicted, accidents, illness, pending, and homicide.
54000	56600	I went ahead and grabbed how many people are a part of the military.
56700	60100	And long story short, if we're just including the active duty military members,
60100	64300	then the death rate is about 65.6 per 100,000 people.
64300	68500	In 2021, black women have had the highest maternal mortality rate in the United States
68500	71500	at 69.9 out of every 100,000 live births.
71500	77000	That means it was actually more dangerous in 2021 for a black woman to give birth.
77000	82700	And it was for the average person to be active duty in the military in 2022.
82700	86200	So for this stat check, I'm going to have to rate that claim completely false.
86200	88800	Thanks for the tag, I'll try to do it as often as I can.
