start	end	text
0	7760	I remember walking out of the office and looking through a little clearing over on the next block,
7760	13440	which was right in front of the Monroe Street address and seeing a lot of police cars over there.
15200	20960	And at that time, Bible Russ came to the office, so he had just come from over there,
20960	26560	or maybe the coroner's office. In any case, we walked back over there and we both were
26560	32960	speechless. We just walked through the house and saw where what had taken place and where he died,
32960	40640	and it was shocking. And then I was, you know, I just began to realize that the information
41680	52160	that I supplied leading up to that moment had facilitated that raid. I knew that indirectly,
52160	57040	I had contributed, and I felt it, and I felt bad about it. And then I got mad.
58000	61840	And then I had to conceal those feelings, which made it worse. I couldn't,
64000	68240	I couldn't say anything. I just had to continue to play the role.
70240	76720	FBI headquarters authorized payment of a $300 bonus to informant William O'Neill for quote,
76720	84560	uniquely valuable services which he rendered over the past several months. Unquote.
