start	end	text
0	4240	There was a study where they had a bunch of rats in a cage and they left the gate open.
4240	6760	And every time the rats would try to leave, they'd get shocked.
6760	8440	They'd try to leave, they'd get shocked.
8440	10160	They'd try to leave, they'd get shocked.
10160	12080	Eventually the rats would stop trying to leave.
12080	14240	Fast forward, those rats had little baby rats.
14240	17880	They put the baby rats in a separate cage and left the gate open.
17880	19440	And they'd never tried to leave.
19440	20440	They'd never been shocked.
20440	24280	They'd never experience that same trauma yet they still acted in that same way.
24280	26280	And that's how we understand epigenetics.
26280	29280	Trauma and response patterns can be passed down to us.
29280	32400	This isn't just through generations, it could be through lifetimes, also something
32400	34080	that may have happened in our childhood.
34080	39400	What situations in our lives are we keeping ourselves in when the gate is wide open?
39400	45120	If it is your birthright to live the most expansive, joy, fault, love, and engaging life
45120	49360	ever, where are you staying stuck where the gate is wide open?
49360	54840	And where do we find and expand our perception to the possibilities that are outside this
