start	end	text
0	4000	I'm the deputy of the state of Illinois at Black Panther Party 3 in Hampton.
5000	8000	And we are going to have to fight, we're going to have to struggle.
8000	11000	We're going to have to struggle relentlessly to bring about some peace.
11000	16000	Because the people that we're acting for peace, they're a bunch of megalomaniac warm-mongers.
16000	18000	And they don't even understand what these means.
18000	22000	And we've got to fight them, we've got to struggle with them to make them understand what these means.
22000	24000	And we don't care what everybody says.
24000	28000	We don't think it's paid five or five minutes because we think it's paid five or five minutes.
28000	31000	We're going to fight racism, not racism, but we're going to fight this out there.
31000	35000	We say we're not going to fight capitalism, we're black capitalism, but we're going to fight socialism.
35000	38000	Why do I have a lot of risk because of harassment?
38000	39000	Why is there harassment?
39000	47000	Because the people that harass me have set up a problem that made me disagree with them violently.
47000	53000	And they set up this problem in order to exploit me and other people like me.
53000	59000	And why do they want to get rid of me because I'm saying something that might wake up some other exploited people and some other oppressed people.
59000	62000	And if all these people ever get together, then these people today exploit.
62000	65000	Unless we'll be running into the lake. That's why they want to get rid of us.
