start	end	text
0	4000	So in the late 1980s, Broward County Sheriff's Office decided that they just didn't have
4000	6720	enough crack cocaine to use and undercover stings.
6720	7840	So what was their solution?
7840	11680	They set up shop on the 7th floor of the Broward County Courthouse in Fort Lauderdale,
11680	15640	where they cooked crack using $20,000 worth of seized cocaine.
15640	21320	They made crack rocks, packaged them individually, and then sold them to people during sting operations.
21320	25040	At the time, those who were involved defended the practice, claiming it was efficient for
25040	28200	making a rest and save time on lab tests.
28200	32880	However, however, called it outrageous and unethical, defense attorneys were especially vocal,
32880	37080	pointing out the moral issues of cops creating and distributing crack.
37080	37920	Come on now.
37920	42520	The story even shocked federal officials with some admitting that they had never heard of such practice before.
42520	44160	Let's fast forward to today.
44160	46880	And the fallout from the scheme is finally being addressed.
46880	51240	Broward County State Attorney Harold F. Pire announced that his office is working to vacate
51240	55360	as many as 2,600 convictions tied to these particular operations.
55360	59480	Many of these convictions involve people who were not selling drugs but buying small amounts,
59480	63080	often within 1,000 feet of schools which carried harsher penalties.
63080	67760	The Florida Supreme Court, though, ruled in 1993 that the actions violated the state's
67760	71960	due process clause, declaring an unconstitutional to charge people in cases where the drugs were
71960	74760	manufactured and sold by police officers.
74760	79600	And layman's turns, it's wrong for police departments to make crack and sell it to people
79600	80840	in order to lock them up.
