start	end	text
0	5720	I hate the argument of, oh, he was just a product of his time because it implies that no one was thinking differently at that time.
5720	10640	Like, the classic example of someone will say, oh, it was really bad that the founding fathers owned enslaved people.
10640	17520	And some moron will say, well, I was just a time period. That's just what everyone did back then. No, that's what some people did back then.
17520	25840	So because it's Columbus Day for many people, this product of their time argument is definitely going to be used to try to make Christopher Columbus' legacy seem not that bad.
25840	31520	I mean, just take a look at this insane cartoon from the conservative organization Prager U that was made for kids.
31520	41200	But you said you're from 500 years in the future? How can you come here to the 15th century and judge me by your standards from the 21st century?
41200	48800	But let's be clear, even people in his time period thought that the way that Christopher Columbus and his men treated Native Americans was terrible.
48800	54560	When Columbus was governing over Spanish territories in the Americas, he was arrested and stripped of his position
54560	60080	partly because of the reports of his brutality and persistent human trafficking of indigenous peoples.
60080	66320	And that around that same time, the monarchs were spying an inspected decree that condemned the enslavement, sexual assault,
66320	70960	and murder of Native peoples in addition to stripping Columbus of his governing position.
70960	78400	And the man who literally knew Columbus personally, Bartolome de las Casas, condemned the horrific treatment of indigenous peoples,
78400	83440	conducted or permitted by Columbus. But how do you feel about that product of their time argument?
83440	87440	And do you think it holds up for Columbus? Let me know in the comments and follow for more.
