start	end	text
0	3760	So, let's talk about the War on Drugs.
3760	7800	Today we're going to dig into the playbook behind it, using some pretty revealing documents
7800	13040	and interviews to see how this one political strategy really changed the course of a nation's
13040	14040	history.
14040	18640	Let's kick things off with a quote, a really stunning admission from deep inside the Nixon
18640	19740	White House.
19740	23760	This one line pretty much reframes the entire story of the War on Drugs.
23760	25040	So you gotta ask, right?
25040	26040	Who said this?
26040	28200	And what in the world were they lying about?
28640	30480	Okay, so let's dive into this.
30480	35720	The crazy thing is, this quote came out way back in a 1994 interview, but it just kind
35720	37220	of sat there.
37220	42560	It flew completely under the radar for more than 20 years until, boom, a 2016 article
42560	46840	in Harper's Magazine brought it to light and it just exploded.
46840	50520	And we're not talking about some low-level staffer here, nope.
50520	53200	The person who said this was John Ehrlichman.
53200	58520	He was one of President Nixon's most trusted advisors, a key architect of domestic policy.
58520	60560	So when he talks, you listen.
60560	62600	And his confession, wow.
62600	67220	It gives us this really chilling peek into the cold, hard political math that was going
67220	68960	on behind the scenes.
68960	72480	The journalist who did the interview said Ehrlichman was just brutally honest.
72480	74000	He basically laid it all out.
74000	78560	The Nixon campaign, he said, had two enemies, the anti-war left and black people.
78560	82440	And while you can't just make it illegal to be against a war or to be black, so they
82560	83560	had to get creative.
83560	87960	They needed another way to go after those communities to disrupt and dismantle them.
87960	90560	And this is the playbook he described.
90560	92960	It's pretty methodical.
92960	95560	Step one, you create a public association.
95560	99560	You link the hippies with marijuana and you link black people with heroin.
99560	103760	Step two, you make both those things super illegal, criminalize them heavily.
103760	107000	And once you've done that, you've got the perfect excuse to disrupt their communities,
107000	108000	right?
108000	112160	You can raid their homes, arrest their leaders, and, in his own words, vilify them night
112200	114400	after night on the evening news.
114400	115680	It was a political weapon.
115680	116680	He admitted it.
116680	120640	So this whole strategy, targeting specific groups of people without actually naming
120640	122800	them, this wasn't just a one-time thing.
122800	127360	Oh no, it actually became the foundation for a whole new kind of political language.
127360	131440	You could call it an abstract attack, one that was specifically designed to hide what
131440	132960	it was really about.
132960	133960	And that brings us to this.
133960	139320	Well, it's a pretty infamous interview from 1981 with a guy named Lee Atwater, who was
139320	141520	a top Republican strategist.
141520	142880	But he just spelled it out.
142880	147320	He explained exactly how political messaging had to change once you couldn't use overtly
147320	150120	racist language anymore because it would backfire.
150120	151120	The solution?
151120	153120	Coded phrases.
153120	156560	Atwater literally described it as a three-step evolution.
156560	158960	You start out using explicit slurs.
158960	162360	Then, when that stops being socially acceptable, you pivot.
162360	165560	You switch to coded phrases, like states' rights.
165560	170040	And then, the final step, you move to something that sounds totally neutral, like abstract
170080	173240	economic policies, things like cutting taxes.
173240	177680	But as Atwater himself pointed out, a byproduct of those policies is that blacks get hurt
177680	179000	worse than whites.
179000	182520	So the language gets cleaner, more abstract, but the intended effect?
182520	184240	That stays the same.
184240	186280	You've probably heard the name for this tactic.
186280	187920	It's called a dog whistle.
187920	189960	You know, like a whistle-only dogs can hear?
189960	194200	It's a political message that sounds totally innocent to the general population, but for
194200	198480	a specific, targeted audience, the real meaning comes through loud and clear.
198480	202600	So in this context, something like states' rights wasn't just about states' rights.
202600	207320	It became a dog whistle for pushing back against federal civil rights enforcement.
207320	211920	Now as shocking as all this is, the Nixon administration didn't just invent this playbook
211920	212920	out of thin air.
212920	213920	Not at all.
213920	216280	There was a clear historical precedent for this.
216280	217960	It goes back decades.
217960	219040	So let's rewind.
219040	222060	Let me introduce you to a man named Harry Anslinger.
222060	227000	This guy was basically the nation's first drug czar, way back in the 1930s.
227000	233520	And he led America's first big war on drugs, and his target was almost entirely marijuana.
233520	238280	And Anslinger's campaign, well, it was fueled by some just blatantly racist rhetoric.
238280	240560	He really didn't even try to hide his motivations.
240560	245160	He was constantly and directly linking drug use to what he saw as a threat to the existing
245160	246160	racial hierarchy.
246160	252320	I mean, his official justifications were this toxic cocktail of racial and cultural fear.
252320	256720	He just relentlessly tied marijuana to minority groups, and also to cultural things he didn't
256720	258920	like, like jazz and swing music.
258920	262680	The whole campaign was framed as this urgent threat to white society.
262680	264960	Okay, so we've seen the playbook.
264960	266120	We've seen the language.
266120	267960	But what were the real world consequences?
267960	272120	What actually happened because of this strategy from Anslinger all the way up through Nixon
272120	273120	and beyond?
273120	276680	Well, the data, it paints a pretty devastating picture.
276680	278360	Just look at this timeline.
278360	279840	It's undeniable.
279840	285080	The moment President Nixon officially declared a war on drugs back in 1971, the U.S. prison
285080	287560	population just starts to skyrocket.
287560	290440	It's a climb unlike anything else in modern history.
290440	295520	We're talking from around 300,000 people back then to well over 2 million today.
295520	298720	And what was driving this explosion in the prison population?
298720	300920	Overwhelmingly, it was one thing.
300920	301920	Drug offenses.
301920	307160	The number of people in prison or jail for a drug crime went up by an incredible 1,100
307160	311600	percent after the war on drugs really ramped up in the 1980s.
311600	314200	Just think about that number for a second.
314200	319520	And as you can probably guess, this massive increase was not felt equally across the board.
319520	320960	Not even close.
320960	324040	Black Americans make up about 13 percent of the U.S. population.
324040	327880	But if you look at the historical data, they've accounted for nearly 60 percent of the people
327880	330400	in state prisons for drug offenses.
330400	332020	So what explains that?
332020	335040	How is that massive disparity even possible?
335040	336040	Well here's the thing.
336040	338080	Decades of research have looked into this.
338080	340320	And it's not because of different rates of drug use.
340320	342520	The data is crystal clear on this.
342520	347640	White and black Americans use and sell illicit drugs at almost identical rates.
347640	350960	The difference, the real difference, is in enforcement.
350960	356080	It's about who gets stopped, who gets searched, and ultimately, who gets arrested.
356080	361120	So all of this brings us full circle, right back to the legacy of this political playbook
361120	363680	and the kind of language that it created.
363680	366840	The pattern becomes pretty clear when you lay it all out like this.
366840	371320	When one form of direct discrimination becomes socially unacceptable, new, more abstract
371320	376320	language is created to justify policies that, well, they produce a very similar result.
376320	380080	In this case, the phrase, tough on crime, effectively stepped in to do the political
380080	383240	work that tough on segregation just couldn't do anymore.
