race,gender,parent_quintile,child_quintile,source_file,source_row_key,source_column,source_value,raw_row_sum,fitted_probability,transformation
Black,P,1,1,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q1_cond_par_q1,0.3733,0.9999,0.373337333733,divide by raw parent-row sum (rounding correction only)
Black,P,1,2,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q2_cond_par_q1,0.3802,0.9999,0.380238023802,divide by raw parent-row sum (rounding correction only)
Black,P,1,3,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q3_cond_par_q1,0.1577,0.9999,0.157715771577,divide by raw parent-row sum (rounding correction only)
Black,P,1,4,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q4_cond_par_q1,0.0634,0.9999,0.063406340634,divide by raw parent-row sum (rounding correction only)
Black,P,1,5,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q5_cond_par_q1,0.0253,0.9999,0.025302530253,divide by raw parent-row sum (rounding correction only)
Black,P,2,1,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q1_cond_par_q2,0.3008,1.0000,0.300800000000,divide by raw parent-row sum (rounding correction only)
Black,P,2,2,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q2_cond_par_q2,0.3592,1.0000,0.359200000000,divide by raw parent-row sum (rounding correction only)
Black,P,2,3,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q3_cond_par_q2,0.2039,1.0000,0.203900000000,divide by raw parent-row sum (rounding correction only)
Black,P,2,4,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q4_cond_par_q2,0.0934,1.0000,0.093400000000,divide by raw parent-row sum (rounding correction only)
Black,P,2,5,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q5_cond_par_q2,0.0427,1.0000,0.042700000000,divide by raw parent-row sum (rounding correction only)
Black,P,3,1,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q1_cond_par_q3,0.2532,0.9999,0.253225322532,divide by raw parent-row sum (rounding correction only)
Black,P,3,2,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q2_cond_par_q3,0.3158,0.9999,0.315831583158,divide by raw parent-row sum (rounding correction only)
Black,P,3,3,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q3_cond_par_q3,0.2333,0.9999,0.233323332333,divide by raw parent-row sum (rounding correction only)
Black,P,3,4,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q4_cond_par_q3,0.1288,0.9999,0.128812881288,divide by raw parent-row sum (rounding correction only)
Black,P,3,5,data/raw/oi_table_2.csv,kid_race=Black;gender=P,kfr_q5_cond_par_q3,0.0688,0.9999,0.068806880688,divide by raw parent-row sum (rounding correction only)
