market_slug,trigger_type,resolution_date,resolution_outcome,market_prob_at_entry,delta_p_at_entry,entry_date,fill_notional_usd,book_depth_usd,half_spread_frac
will-a-new-supreme-court-justice-be-confirmed-before-nov-3rd-2020,cointelpro_metric,2022-01-27,0,0.5,-0.159,2020-10-02,100.0,1000.0,0.01
will-any-electoral-certificates-be-formally-challenged-in-congress,cointelpro_metric,2021-02-01,0,0.5,-0.1647,2020-12-14,100.0,1000.0,0.01
which-party-will-control-the-senate,cointelpro_metric,2021-02-01,0,0.5,-0.1647,2020-12-14,100.0,1000.0,0.01
will-the-federal-minimum-wage-be-9-50-per-hour-or-higher-by-april-1-1,heat_shield_reversal,2021-04-01,0,0.5,0.2121,2021-02-17,100.0,1180.14,0.01
will-inflation-be-0-5-or-more-from-february-to-march,heat_shield_reversal,2021-04-13,1,0.5,0.2768,2021-03-16,100.0,1000.0,0.01
will-the-workers-at-amazons-bessemer-facility-unionize-by-may-5,heat_shield_reversal,2021-05-05,0,0.5,0.2768,2021-03-30,100.0,1997.0,0.01
will-matt-gaetz-continue-to-hold-congressional-office-through-june-1-2021,cointelpro_metric,2021-06-01,1,0.5,0.2768,2021-03-30,100.0,1973.17,0.01
will-inflation-be-02-or-more-from-march-to-april,heat_shield_reversal,2021-05-12,1,0.5,0.1086,2021-04-20,100.0,1000.0,0.01
will-a-vacancy-for-the-us-supreme-court-be-announced-by-september-1-2021,cointelpro_metric,2021-09-01,0,0.5,0.1499,2021-05-05,100.0,1000.0,0.01
will-inflation-be-04-or-more-from-april-to-may,heat_shield_reversal,2021-06-10,1,0.5,0.1499,2021-05-12,100.0,1000.0,0.01
will-inflation-be-06-or-more-from-may-to-june,heat_shield_reversal,2021-07-13,1,0.5,0.0075,2021-06-10,100.0,1000.0,0.01
will-inflation-be-06-or-more-from-june-to-july,heat_shield_reversal,2021-08-11,0,0.5,-0.3058,2021-07-13,100.0,1000.0,0.01
will-a-second-union-vote-be-approved-by-the-nlrb-at-the-bessemer-amazon-warehouse-before-october-15-2021,heat_shield_reversal,2021-10-14,0,0.5,0.064,2021-08-05,100.0,1037.2,0.01
will-the-us-senate-pass-hr-3684-invest-in-america-act-by-august10-2021,cointelpro_metric,2021-08-10,1,0.5,0.064,2021-08-07,100.0,1000.0,0.01
will-inflation-be-04-or-more-from-july-to-august,heat_shield_reversal,2021-09-14,0,0.5,0.064,2021-08-11,100.0,1000.0,0.01
will-fully-vaccinated-non-essential-canadian-travelers-be-permitted-to-cross-into-the-us-through-the-land-borders-by-september-1-2021,cointelpro_metric,2021-09-01,0,0.5,0.064,2021-08-12,100.0,1000.0,0.01
will-there-be-over-220000-encounters-at-the-us-mexico-border-in-august-2021,cointelpro_metric,2021-09-01,0,0.5,0.064,2021-08-19,100.0,1000.0,0.01
will-inflation-be-04-or-more-from-august-to-september,heat_shield_reversal,2021-10-13,1,0.5,0.068,2021-09-14,100.0,1000.0,0.01
will-inflation-be-0pt5-or-more-from-september-to-october-2021,heat_shield_reversal,2021-11-10,1,0.5,0.0629,2021-10-28,100.0,1000.0,0.01
will-year-to-year-inflation-in-the-european-union-be-4pt3-or-more-in-october,heat_shield_reversal,2021-11-17,1,0.5,0.0629,2021-10-29,100.0,1000.0,0.01
will-usa-or-european-union-report-higher-per-capita-covid-19-cases-count-on-november-16,heat_shield_reversal,2021-11-17,0,0.5,0.0092,2021-11-03,100.0,1000.0,0.01
will-the-build-back-better-act-pass-the-house-of-representatives-by-november-19-2021,cointelpro_metric,2021-11-20,1,0.5,0.0092,2021-11-09,100.0,1000.0,0.01
will-joe-biden-be-president-of-the-usa-on-january-6-2022,cointelpro_metric,2022-01-06,1,0.5,0.0092,2021-11-29,100.0,1000.0,0.01
will-inflation-be-0pt8-or-more-from-october-to-november-2021,heat_shield_reversal,2021-12-10,1,0.5,0.0092,2021-11-30,100.0,1000.0,0.01
will-the-us-senate-pass-the-build-back-better-act-by-the-christmas-eve,cointelpro_metric,2021-12-24,0,0.5,0.0092,2021-11-30,100.0,1000.0,0.01
will-year-to-year-inflation-in-the-european-union-be-5pt2-or-more-in-november,heat_shield_reversal,2021-12-17,1,0.5,-0.047,2021-12-01,100.0,1000.0,0.01
will-joe-bidens-approval-rating-be-41pt5-or-higher-on-january-6,cointelpro_metric,2022-01-07,1,0.5,-0.047,2021-12-09,100.0,1000.0,0.01
will-the-us-senate-pass-the-build-back-better-act-by-january-9,cointelpro_metric,2022-01-09,0,0.5,-0.047,2021-12-14,100.0,1000.0,0.01
will-joe-bidens-approval-rating-be-43pt0-or-higher-on-january-6-2022,cointelpro_metric,2022-01-07,0,0.5,-0.047,2021-12-14,100.0,1000.0,0.01
will-annual-inflation-in-the-european-union-be-5pt4-or-more-in-december,heat_shield_reversal,2022-01-07,1,0.5,-0.047,2021-12-18,100.0,1000.0,0.01
will-annual-inflation-in-the-usa-be-7pt0-or-more-in-december-2021,heat_shield_reversal,2022-01-12,1,0.5,-0.047,2021-12-27,100.0,1000.0,0.01
will-the-top-song-on-spotify-charts-hit-40m-global-streams-for-the-week-ending-on-january-6,cointelpro_metric,2022-01-07,0,0.5,-0.047,2021-12-27,100.0,1000.0,0.01
serie-a-who-will-win-the-juventus-v-napoli-game-on-january-6,cointelpro_metric,2022-01-06,1,0.5,-0.0421,2022-01-03,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-vermont,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-iowa,cointelpro_metric,2022-11-15,0,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-georgia,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-arizona,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
2022-us-senate-elections-will-a-democrat-or-republican-win-in-new-hampshire,cointelpro_metric,2022-11-15,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-the-u-3-unemployment-rate-in-january-be-above-4pt0,heat_shield_reversal,2022-02-04,0,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-the-u-3-unemployment-rate-in-january-be-above-4pt2,heat_shield_reversal,2022-02-04,0,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-a-new-us-supreme-court-justice-be-confirmed-in-2022,cointelpro_metric,2022-12-31,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-the-u-3-unemployment-rate-in-january-be-above-3pt8,heat_shield_reversal,2022-02-04,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-the-u-3-unemployment-rate-in-january-be-above-3pt6,heat_shield_reversal,2022-02-04,1,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-donald-trump-be-president-of-the-usa-on-january-6-2023,cointelpro_metric,2023-01-06,0,0.5,-0.0421,2022-01-11,100.0,1000.0,0.01
will-the-us-annual-inflation-on-january-2022-exceed-7p2,heat_shield_reversal,2022-02-10,1,0.5,-0.0421,2022-01-12,100.0,1000.0,0.01
