year,top_0_1_pct,top_10_pct,notes
1920,22.5,48.0,gilded_age_residual
1921,21.0,47.0,post_war_correction
1922,20.5,46.5,business_recovery
1923,21.0,47.0,roaring_twenties
1924,21.5,47.5,coolidge_prosperity
1925,22.0,48.0,peak_inequality
1926,22.5,48.5,pre_crash_high
1927,23.0,49.0,gilded_age_peak
1928,23.5,49.5,market_bubble
1929,22.0,48.5,crash_begins
1930,18.5,45.0,great_depression_fall
1931,14.0,42.0,inequality_collapse
1932,11.0,39.0,new_deal_election
1933,10.5,37.0,new_deal_window
1934,11.5,37.5,reform_consolidation
1935,12.5,38.5,nlra_recovery_start
1966,9.5,35.0,great_society
1967,9.5,35.5,vietnam_spending
1968,10.0,36.0,urban_unrest
1969,10.5,36.5,nixon_era
1970,10.5,37.0,stagflation_begin
1971,11.0,37.5,extractive_rebound
