year,strike_days_idle,union_density_pct,mobilization_index,notes
1920,3500000,17.0,55,post_wwi_labor_unrest
1921,3200000,16.5,50,coal_steel_strikes
1922,2200000,15.5,40,open_shop_drive
1923,1200000,14.5,32,coolidge_prosperity
1924,900000,13.5,28,business_conservatism
1925,700000,12.5,25,laissez_faire_peak
1926,1100000,12.0,30,coal_strike
1927,800000,11.5,27,nonunion_era
1928,600000,11.0,25,pre_crash_stability
1929,800000,11.5,35,market_crash
1930,1200000,11.5,50,depression_spread
1931,2000000,12.0,75,unrest_rises
1932,3800000,12.5,95,bonus_march_unrest
1933,3500000,13.0,90,new_deal_window
1934,3000000,13.5,85,general_strikes
1935,2200000,14.0,70,nlra_passage
1966,1000000,30.0,40,civil_rights_peak
1967,1400000,29.5,52,anti_war_mobilization
1968,1800000,29.0,60,mlk_assassination_riots
1969,1600000,28.5,55,black_panther_coalition
1970,1700000,28.0,50,post_kent_state
1971,1500000,27.5,48,rainbow_coalition_matures
