year,police_militarization_index,fbi_spend_ordinal,lobbying_index,notes
1920,10,low,15,red_scare_i
1921,12,low,18,palmer_raids
1922,10,low,15,open_shop_legal
1923,9,low,14,business_ascendant
1924,8,low,13,coolidge_restoration
1925,7,low,12,laissez_faire
1926,8,low,13,coal_strike_repression
1927,7,low,12,sacco_vanzetti
1928,6,low,11,pre_crash
1929,7,low,12,depression_onset
1930,9,low,14,bonus_march_build
1931,11,low,16,unrest_response
1932,14,medium,20,bonus_march_dispersal
1933,16,medium,25,new_deal_enforcement
1934,18,medium,28,general_strike_response
1935,15,medium,24,nlra_compliance
1966,25,medium,35,civil_rights_monitoring
1967,38,high,48,urban_unrest_response
1968,55,high,62,mlk_riots_cointelpro
1969,68,high,70,pather_raids_coalition
1970,62,high,66,kent_state_national_guard
1971,58,high,62,cointelpro_peak
