year,buffer_class_share,out_group_share,dominant_category,notes
1920,0.85,0.10,buffer_class,industrial_strike_wave
1921,0.85,0.10,buffer_class,steel_rail_strikes
1922,0.82,0.12,buffer_class,open_shop_resistance
1923,0.80,0.12,buffer_class,prosperity_lull
1924,0.78,0.12,buffer_class,business_ascendant
1925,0.75,0.13,buffer_class,laissez_faire
1926,0.78,0.13,buffer_class,coal_strike
1927,0.75,0.15,buffer_class,nonunion_era
1928,0.75,0.15,buffer_class,pre_crash
1929,0.78,0.15,buffer_class,depression_onset
1930,0.80,0.15,buffer_class,unemployment_rises
1931,0.82,0.15,buffer_class,bonus_march_build
1932,0.85,0.12,buffer_class,bonus_march_peak
1933,0.82,0.15,buffer_class,new_deal_reform
1934,0.80,0.18,buffer_class,general_strikes
1935,0.78,0.20,buffer_class,nlra_passage
1966,0.40,0.55,out_group,civil_rights_coalition
1967,0.35,0.60,out_group,anti_war_black_power
1968,0.30,0.65,out_group,mlk_riots_poor_peoples
1969,0.30,0.65,out_group,rainbow_coalition
1970,0.35,0.60,out_group,kent_state_chicano
1971,0.35,0.60,out_group,rainbow_matures
