start	end	text
0	2440	What if the most powerful political move
2440	6520	Black America could make wasn't choosing between two parties
6520	8440	that take our vote for granted,
8440	11200	but building our own Black-led party?
11200	13880	Please share this post with everybody black.
13880	16160	This is the strategy they've been trying
16160	19860	to stop us from pursuing since the first time we tried
19860	22440	in 1972 at the Gary convention.
22440	23960	This is what we'd have to do.
23960	27480	To form a recognized political party in the United States,
27480	30200	you must file for official party status
30200	32440	in each state you intend to operate in.
32440	35120	This involves gathering petition signatures,
35120	37400	submitting articles of organization,
37400	40840	establishing a party name, symbol, and charter,
40840	43920	and registering with the Federal Election Commission.
43920	48320	It's a bureaucratic red tape jumbo meant to deter you,
48320	50080	but I will not be deterred.
50080	52400	I love destroying red tape.
52400	54400	We must hold a national convention
54400	57120	and ratify a black legislative agenda.
57120	60120	A binding platform that every candidate
60120	62560	that we run must uphold.
62560	65840	Delegates from every state, every city, every community
65840	68240	where black people have been underserved,
68240	70440	underfunded, and underrepresented,
70440	73160	which is every state in this stolen America.
73160	75960	Criminal justice, economic investment,
75960	80640	education equity, housing, healthcare, reparations policy.
80640	83040	This agenda is not a wish list.
83040	86800	It is a contract between this party and the people it serves.
86800	88880	No more empty promises from the left
88880	92080	and no more Project 2025 strategies from the right.
92080	94640	Here is where this strategy separates itself
94640	98240	from every failed third party attempt in American history.
98240	99360	We are not.
99360	102600	I repeat, we are not running a candidate for president
102600	105600	because the presidency is a national race
105600	108840	and third parties don't win national races.
108840	113600	Instead, we are laser focused on state legislative seats,
113600	117200	city councils, marrow races, school boards,
117200	121360	and selected U.S. House and Senate districts,
121360	124200	specifically in areas where black Americans
124200	128120	make up a significant share or outright majority
128120	129400	of the population.
129400	133440	And a handful of strategic U.S. House and Senate seats
133440	137160	can become the deciding votes on the federal level.
137160	138560	That's called leverage.
138560	141520	I'm asking you to believe in math.
141520	143320	There are millions of black Americans
143320	144480	who have never voted.
144480	149040	However, I believe a party built by them, for them,
149040	151560	will engage this segment of our population.
151560	153640	I hope y'all picking up what I'm putting down.
153640	155320	The goal is not rebellion.
155320	157040	The goal is representation.
157040	158920	Representation equals power.
158920	163000	The difference now is we will protect what we build
163000	164960	by any means necessary.
164960	166760	I hope to see y'all June 13th
166760	169280	at the Black Unity Cookout here in Chicago.
169280	170360	I love you, black man.
170360	171360	I love you, black woman.
171360	172400	Knowledge is power.
172400	173800	Power to the people.
